"circuitid","circuitref","name","location","country"
1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia"
2,"sepang","Sepang International Circuit","Kuala Lumpur","Malaysia"
3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain"
4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain"
5,"istanbul","Istanbul Park","Istanbul","Turkey"
6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco"
7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada"
8,"magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France"
9,"silverstone","Silverstone Circuit","Silverstone","UK"
10,"hockenheimring","Hockenheimring","Hockenheim","Germany"
11,"hungaroring","Hungaroring","Budapest","Hungary"
12,"valencia","Valencia Street Circuit","Valencia","Spain"
13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium"
14,"monza","Autodromo Nazionale di Monza","Monza","Italy"
15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore"
16,"fuji","Fuji Speedway","Oyama","Japan"
17,"shanghai","Shanghai International Circuit","Shanghai","China"
18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil"
19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA"
