"driverid","driverref","number","code","forename","surname","nationality"
1,"hamilton",44,"HAM","Lewis","Hamilton","British"
2,"heidfeld",NULL,"HEI","Nick","Heidfeld","German"
3,"rosberg",6,"ROS","Nico","Rosberg","German"
4,"alonso",14,"ALO","Fernando","Alonso","Spanish"
5,"kovalainen",NULL,"KOV","Heikki","Kovalainen","Finnish"
6,"nakajima",NULL,"NAK","Kazuki","Nakajima","Japanese"
7,"bourdais",NULL,"BOU","Sébastien","Bourdais","French"
8,"raikkonen",7,"RAI","Kimi","Räikkönen","Finnish"
9,"kubica",88,"KUB","Robert","Kubica","Polish"
10,"glock",NULL,"GLO","Timo","Glock","German"
11,"sato",NULL,"SAT","Takuma","Sato","Japanese"
12,"piquet_jr",NULL,"PIQ","Nelson","Piquet Jr.","Brazilian"
13,"massa",19,"MAS","Felipe","Massa","Brazilian"
14,"coulthard",NULL,"COU","David","Coulthard","British"
15,"trulli",NULL,"TRU","Jarno","Trulli","Italian"
16,"sutil",99,"SUT","Adrian","Sutil","German"
17,"webber",NULL,"WEB","Mark","Webber","Australian"
18,"button",22,"BUT","Jenson","Button","British"
19,"davidson",NULL,"DAV","Anthony","Davidson","British"
20,"vettel",5,"VET","Sebastian","Vettel","German"
